조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2015,충청남도 서산시,근채류계,봄무,16000,6.5,34000
2010,충청남도 서산시,근채류계,봄무,13699,13.8,33000
2012,충청남도 보령시,근채류계,봄무,13600,1.8,6000
2015,충청남도 태안군,근채류계,봄무,13200,11.6,51000
2014,충청남도 청양군,근채류계,봄무,11980,11.7,13200
2012,충청남도 서산시,근채류계,봄무,11348,23.9,25483
2015,충청남도 보령시,근채류계,봄무,11301,33.7,40102
2011,충청남도 서천군,근채류계,봄무,10293,102.5,94700
2015,충청남도 청양군,근채류계,봄무,10000,2.2,6900
2014,충청남도 당진시,근채류계,봄무,10000,8.4,28300
2013,충청남도 청양군,근채류계,봄무,10000,0,0
2012,충청남도 논산시,근채류계,봄무,9475,12.6,39100
2013,충청남도 서천군,근채류계,봄무,9200,31.3,70000
2010,충청남도 태안군,근채류계,봄무,8610,30.8,44350
2012,충청남도 서천군,근채류계,봄무,7200,28.3,68000
2014,충청남도 태안군,근채류계,봄무,6630,15,33600
2013,충청남도 태안군,근채류계,봄무,6630,15,33600
2012,충청남도 태안군,근채류계,봄무,6630,15,33600
2011,충청남도 태안군,근채류계,봄무,6630,15.5,34200
2011,충청남도 금산군,근채류계,봄무,5563,13.2,8220
2010,충청남도 당진시,근채류계,봄무,4780,23.5,18715
2014,충청남도 서천군,근채류계,봄무,4600,11.4,11260
2013,충청남도 홍성군,근채류계,봄무,4000,2,4000
2012,충청남도 금산군,근채류계,봄무,3919,12.3,6208.9
2015,충청남도 서천군,근채류계,봄무,3700,8.4,10360
2015,충청남도 부여군,근채류계,봄무,3521,4.3,15210
2014,충청남도 보령시,근채류계,봄무,3401,31.9,36192
2013,충청남도 보령시,근채류계,봄무,3401,32.4,36730.8
2015,충청남도 홍성군,근채류계,봄무,3000,7.3,7300
2015,충청남도 논산시,근채류계,봄무,3000,6.7,6705
2014,충청남도 서산시,근채류계,봄무,3000,0.7,1000
2014,충청남도 논산시,근채류계,봄무,3000,6.7,6690
2011,충청남도 공주시,근채류계,봄무,3000,10.2,15300
2010,충청남도 공주시,근채류계,봄무,3000,14.1,14100
2013,충청남도 논산시,근채류계,봄무,2976,6.5,6448
2014,충청남도 홍성군,근채류계,봄무,2500,9,7500
2012,충청남도 홍성군,근채류계,봄무,2000,2.8,5500
2011,충청남도 홍성군,근채류계,봄무,2000,4.5,8900
2011,충청남도 논산시,근채류계,봄무,1936,6.4,4056
2013,충청남도 홍성군,엽채류,봄배추,243280,15.2,1797630
2012,충청남도 홍성군,엽채류,봄배추,240000,10.9,1730000
2015,충청남도 예산군,엽채류,봄배추,192437,123.4,972226
2013,충청남도 예산군,엽채류,봄배추,180753,130.9,1032305.65
2014,충청남도 예산군,엽채류,봄배추,171227,126.1,863133
2011,충청남도 홍성군,엽채류,봄배추,159649,20.6,784000
2012,충청남도 부여군,엽채류,봄배추,114260,37.8,523308
2013,충청남도 부여군,엽채류,봄배추,113142,60.1,519431
2010,충청남도 홍성군,엽채류,봄배추,110000,5.7,621830
2011,충청남도 예산군,엽채류,봄배추,59923,117.5,348066
2010,충청남도 서산시,엽채류,봄배추,59500,20.5,265850
2013,충청남도 서산시,엽채류,봄배추,52267,96.8,320810
2010,충청남도 예산군,엽채류,봄배추,45923,75.2,214021
2012,충청남도 예산군,엽채류,봄배추,44053,115,245158
2011,충청남도 아산시,엽채류,봄배추,38935,62.3,154500
2012,충청남도 당진시,엽채류,봄배추,33000,89.9,313268
2011,충청남도 서산시,엽채류,봄배추,29317,75,208750
2012,충청남도 서산시,엽채류,봄배추,27154,48.8,121855
2011,충청남도 당진시,엽채류,봄배추,26600,51.2,136258
2012,충청남도 아산시,엽채류,봄배추,23185,58.7,140770
2012,충청남도 금산군,엽채류,봄배추,23123,20.2,130460
2010,충청남도 아산시,엽채류,봄배추,22851,59.6,137400
2013,충청남도 아산시,엽채류,봄배추,22796,34,130420
2015,충청남도 홍성군,엽채류,봄배추,21109,35.9,82024
2014,충청남도 부여군,엽채류,봄배추,20858,51.1,100874
2015,충청남도 청양군,엽채류,봄배추,20522,19.9,34892
2013,충청남도 논산시,엽채류,봄배추,20468,47.1,83076
2014,충청남도 청양군,엽채류,봄배추,20436,21.5,35613
2015,충청남도 논산시,엽채류,봄배추,20380,28.7,18047
2011,충청남도 공주시,엽채류,봄배추,19990,24.3,161919
2015,충청남도 서산시,엽채류,봄배추,19200,32.5,50900
2011,충청남도 논산시,엽채류,봄배추,19000,32.2,85000
2013,충청남도 청양군,엽채류,봄배추,15825,7.8,3220
2013,충청남도 당진시,엽채류,봄배추,15000,45.7,76300
2015,충청남도 아산시,엽채류,봄배추,14050,68.4,198085
2014,충청남도 아산시,엽채류,봄배추,14050,68.4,198085
2012,충청남도 논산시,엽채류,봄배추,13500,6,15602
2010,충청남도 당진시,엽채류,봄배추,12678,85.7,107900
2014,충청남도 금산군,엽채류,봄배추,12000,9,108000
2013,충청남도 금산군,엽채류,봄배추,12000,9,108000
2010,충청남도 금산군,엽채류,봄배추,11821,11.8,37000
2014,충청남도 홍성군,엽채류,봄배추,11080,19.2,24900
2014,충청남도 논산시,엽채류,봄배추,10893,57.7,40413
2011,충청남도 금산군,엽채류,봄배추,10583,16.6,25160
2012,충청남도 청양군,엽채류,봄배추,10496,10.2,66819
2014,충청남도 공주시,엽채류,봄배추,10261,1.1,11000
2014,충청남도 서산시,엽채류,봄배추,9662,43.3,63501
2015,충청남도 부여군,엽채류,봄배추,8848,20.6,33561
2010,충청남도 부여군,엽채류,봄배추,6795,22.5,40544.25
2013,충청남도 서천군,엽채류,봄배추,5300,49.7,26730
2011,충청남도 서천군,엽채류,봄배추,5031,41.7,20900
2012,충청남도 서천군,엽채류,봄배추,4100,28.4,16500
2014,충청남도 당진시,엽채류,봄배추,4000,15.3,20432
2015,충청남도 보령시,엽채류,봄배추,3872,22.3,28840
2014,충청남도 보령시,엽채류,봄배추,3872,22.3,28840
2012,충청남도 보령시,엽채류,봄배추,3712.63,3197.1,29840
2013,충청남도 보령시,엽채류,봄배추,3712,22.5,27840
2011,충청남도 보령시,엽채류,봄배추,3712,22.5,27840
2015,충청남도 서천군,엽채류,봄배추,3100,10.6,10974
2014,충청남도 서천군,엽채류,봄배추,3100,10.6,10974
2011,충청남도 부여군,엽채류,봄배추,3000,7,21000
2015,충청남도 태안군,엽채류,봄배추,2915,22.2,21000
2014,충청남도 태안군,엽채류,봄배추,2915,22.2,21000
2013,충청남도 태안군,엽채류,봄배추,2915,22.6,21800
2012,충청남도 태안군,엽채류,봄배추,2915,22.6,21800
2015,충청남도 금산군,엽채류,봄배추,1830,27,16470
2011,충청남도 태안군,엽채류,봄배추,1060,23.2,8200
2010,충청남도 태안군,엽채류,봄배추,1060,23.2,8200
2012,충청남도 공주시,엽채류,봄배추,1000,11.7,11667
2012,충청남도 서천군,엽채류,부추,35542,24.9,111750
2010,충청남도 공주시,엽채류,부추,23017,18.7,56790
2013,충청남도 서천군,엽채류,부추,21419,31.6,61120
2015,충청남도 논산시,엽채류,부추,20910,7.6,52500
2014,충청남도 논산시,엽채류,부추,19917,11.6,46198
2011,충청남도 서천군,엽채류,부추,19121,8.2,20130
2011,충청남도 서산시,엽채류,부추,18300,3.8,5650
2015,충청남도 당진시,엽채류,부추,17510,16,56026
2013,충청남도 당진시,엽채류,부추,17505,16,56012
2013,충청남도 서산시,엽채류,부추,17300,2.6,7600
2012,충청남도 서산시,엽채류,부추,17300,13.1,43650
2012,충청남도 당진시,엽채류,부추,16585,4.5,15009
2014,충청남도 서천군,엽채류,부추,16247,9.3,40600
2010,충청남도 당진시,엽채류,부추,15569,0.5,2400
2013,충청남도 논산시,엽채류,부추,15000,1.4,8500
2012,충청남도 논산시,엽채류,부추,15000,1.4,8500
2011,충청남도 천안시,엽채류,부추,13600,3.6,49000
2015,충청남도 서천군,엽채류,부추,12420,10,41500
2011,충청남도 논산시,엽채류,부추,12000,10.5,42870
2015,충청남도 서산시,엽채류,부추,10500,1.5,5250
2014,충청남도 서산시,엽채류,부추,10500,1.5,5250
2010,충청남도 논산시,엽채류,부추,9970,19.6,39140
2014,충청남도 천안시,엽채류,부추,7980,6.1,25500
2011,충청남도 태안군,엽채류,부추,7160,10.7,25500
2010,충청남도 태안군,엽채류,부추,7160,10.7,25500
